,,HEPG2 mock,H2O2 ,2605L 6h,2277L 6h,2277H 6h,STD,HEPG2 mock,H2O2 ,2605L 6h,2277L 6h,2277H 6h,p-value,H2O2 ,2605L 6h,2277L 6h,2277H 6h
Anti-inflammatory,TGFB,1.0,1.4202738820158156,1.1248174579119938,1.230044361171576,1.2861157799024605,,0.0,0.11732315857248961,0.08643846611789012,0.052393391141019416,0.05074544329957026,,0.0034325155563935195,0.06668899215564532,0.0016043340510956173,0.0006159776478024959
Anti-inflammatory,TNF-a,1.0,1.0,1.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,,,,,
Apoptosis,AIFM1,1.0,0.9510333069078983,0.9499038910548093,0.9074856379570605,0.7892987847919812,,0.0,0.08986373746947632,0.06738770676842597,0.08412970590497995,0.06740879905330655,,0.3987148073318709,0.2673296734139478,0.12953889015257078,0.005639778530900175
Apoptosis,BAD,1.0,0.5142882073207975,1.0457658915405088,0.883774704419528,1.0663147332140832,,0.0,0.4373766447453716,0.10292212372334211,0.12151004643171409,0.022192133944422134,,0.12676529128577585,0.48415594121217814,0.1729170366265285,0.006625770781010151
Apoptosis,BAX,1.0,1.102045295684855,1.013314513596472,0.9783482979506523,0.9947356513576212,,0.0,0.06152143592057972,0.04725904644619122,0.01924044834984627,0.06618131138717206,,0.045333958025665505,0.6511051582488357,0.12308214240554838,0.8970754767773514
Apoptosis,BCL-2,1.0,1.0,1.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,,,,,
Apoptosis,BCLXL,1.0,0.9642512275799725,1.0339099706202617,0.9342808127709407,1.208965956485115,,0.0,0.09392118668466247,0.012513891962618783,0.07713751480006278,0.06284805081048443,,0.5457489428684901,0.009353493612040745,0.21406913384546525,0.004509779967183876
Apoptosis,CASP9,1.0,0.6923250734352641,0.9016344053626574,1.0692174436996311,1.1447616178353546,,0.0,0.41641230532197465,0.2162415987907234,0.22552810532646486,0.17951160257676405,,0.2698139732139157,0.474827784729125,0.6231619096930536,0.23499925208774558
Apoptosis,EndoG,1.0,1.194601704123063,0.9930948704752102,0.9324069308629269,1.0532538457139589,,0.0,0.24425030297086003,0.07852202301614176,0.10161837723715404,0.007112896916053718,,0.23970738110943426,0.886312987059275,0.3134511046490573,0.00020401726392975096
Telomerase activity,RTEL1,1.0,1.0,1.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,,,,,
Telomerase activity,TERC,1.0,1.3929375013653145,1.0665181204535028,1.1190772658758765,1.7384712847062935,,0.0,0.08253513741341494,0.15466945514449545,0.3937211211784174,0.2287495354242985,,0.0011796321397778877,0.497719795677814,0.6280716250423903,0.005019435511017792
Telomerase activity,TERT,1.0,0.7613247049866768,0.8127141225732775,0.7613247049866768,0.8825022205303895,,0.0,0.0,0.08900908223136597,0.0,0.20988561365667782,,0.0,0.021878542780593337,0.0,0.387136782946172
Hair,AR,1.0,1.0,1.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,,,,,
Hair,BDNF,1.0,1.0,1.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,,,,,
Hair,IGF1,1.0,1.1871367686943044,0.7788970683197727,0.8925481079684876,0.7748934521503292,,0.0,0.7140263693348645,0.006934466619480209,0.10993000043088882,0.0,,0.6734064676584133,6.436270210170182e-07,0.16570785861680884,0.0
Hair,KROX20,1.0,1.0,1.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,,,,,
Hair,SCF,1.0,0.5961935951466996,0.840603441333584,0.7614151880385474,0.9309585805170054,,0.0,0.45358889644531425,0.09204681830793891,0.10040561938541706,0.0942103550135596,,0.19794526279740718,0.0399665884705671,0.014663579111655577,0.2731537796789455
Hair,SRD5A1,1.0,0.5746040415073731,0.9002457673402513,0.8805297651556526,0.8573457127252867,,0.0,0.38031176607559664,0.03785535123067839,0.06684316111889858,0.0928722131859958,,0.12475276616967934,0.010305970347202206,0.03637137004733263,0.05636227095660406
Hair,SRD5A2,1.0,1.0,1.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,,,,,
